id,latitude,longitude
33947065,37.8627263,-122.2440674
33947068,37.8631634,-122.2442759
33947070,37.8635317,-122.2444481
33947072,37.8637248,-122.2445666
33947074,37.8637984,-122.2444719
33947076,37.8637804,-122.2444242
33947078,37.8634731,-122.2440931
33947080,37.8632358,-122.2436223
33947082,37.8631357,-122.2430130
33947084,37.8632191,-122.2425486
33947087,37.8632325,-122.2424788
33947089,37.8634164,-122.2424297
33947093,37.8634447,-122.2424701
33947096,37.8636017,-122.2428289
33947099,37.8639082,-122.2430340
33947104,37.8641529,-122.2433876
33947107,37.8642926,-122.2433661
33947111,37.8643276,-122.2432360
33947117,37.8642906,-122.2425236
33947121,37.8643203,-122.2423512
33947127,37.8642783,-122.2420659
33947132,37.8639859,-122.2412940
33947136,37.8639538,-122.2410338
33947140,37.8640247,-122.2408248
33947143,37.8642598,-122.2406754
33947146,37.8645807,-122.2406963
33947150,37.8646878,-122.2406727
33947153,37.8649693,-122.2405238
33947160,37.8656944,-122.2404089
33947167,37.8664302,-122.2393431
33947170,37.8666505,-122.2391038
33947177,37.8671900,-122.2389658
33947180,37.8676442,-122.2385945
33947184,37.8677107,-122.2385379
33947190,37.8677900,-122.2383407
33947194,37.8677734,-122.2380240
33947198,37.8677517,-122.2378508
33947202,37.8676658,-122.2371783
33947206,37.8676234,-122.2369275
33947209,37.8674786,-122.2365553
33947213,37.8674477,-122.2364272
33947216,37.8676478,-122.2361013
33947219,37.8678775,-122.2359833
33947223,37.8683222,-122.2359418
33947226,37.8686559,-122.2357587
33947230,37.8689587,-122.2352893
33947233,37.8693308,-122.2346351
33947236,37.8695205,-122.2341251
33947240,37.8695494,-122.2339428
33947244,37.8696000,-122.2332068
33947247,37.8695515,-122.2329021
33947251,37.8695515,-122.2324113
33947254,37.8697082,-122.2320760
33947258,37.8697802,-122.2318936
33947262,37.8698416,-122.2313894
33947265,37.8700046,-122.2311828
33947269,37.8702100,-122.2310729
33947272,37.8703705,-122.2308985
33947277,37.8704277,-122.2308395
33947280,37.8703886,-122.2309188
