OBJECTID,Field Pole Number,CITY_FACILITY_ID,Utility Pole Number,Fixture Type,Current Lamp Type,Current Wattage,Rate Change Submission Date,LED Conversion Status,Installation Date,Leotek Replacement Status,Replacement Date,LED Fixture,Part Number,Manufacturer,Control Device,Field Issues,Access Issues,Pole Material,Arm Length,Mounting Height,Light Shield,Pre-Conversion Lamp Type,Pre-Conversion Wattage,Pre-Replacement Lamp Type,Pre-Replaceent Wattage,Utility Address,Approximate Address,Latitude, Longitude,Tanko ID,Shape,x,y
1,B4866,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/6/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,801 Anthony St,"37.8518658, -122.2935715",7985,,562147.4803999998,4189614.5299999993
2,N1300,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/26/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,12 ft,> 30 feet,None,N/A,N/A,LED,42,,1302 9th St,"37.8799056, -122.2981296",7988,,561723.0862999996,4192722.567
3,2469,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/23/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,2475 Bancroft Way,"37.8686636, -122.260023",7989,,565084.1491,4191501.1362999994
4,GA3408,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,1/7/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,3100 Adeline St,"37.8510318, -122.270679",7993,,564162.1792000001,4189537.4812000003
5,A3307,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/7/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,25-30 feet,None,N/A,N/A,LED,87,,3315 Adeline St,"37.8484454, -122.271377",7994,,564103.0109999999,4189250.0369000006
6,S0185,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/5/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,1830 Solano Ave,"37.8913351, -122.2786528",8000,,563426.1102,4194003.7566
7,SX2014,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/24/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,824 University Ave,"37.8677832, -122.2977425",8001,,561767.2499000002,4191377.8214
8,EAL03E,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/24/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,6 ft,> 30 feet,None,N/A,N/A,LED,87,,333 University Ave,"37.86452, -122.3123609",8002,,560484.1363000004,4191006.1908
9,MB31,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/24/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,6 ft,25-30 feet,None,N/A,N/A,LED,42,,272 Marina Blvd,"37.8667003, -122.3122039",8003,,560496.1634999998,4191248.200099999
10,CH2500,,CH2499,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,3/18/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,3 ft,25-30 feet,None,N/A,N/A,LED,87,N/S CHANNING 1/W/O TELEGRAPH CH2499,2398 Telegraph Ave,"37.8668906, -122.2587112",8025,,565201.0915000001,4191305.3341000006
11,OX2124,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,Oxford St,"37.8706831, -122.2660245",8028,,564554.5220999997,4191721.0353999995
12,OX2120,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2120 Oxford St,"37.8710464, -122.2660681",8029,,564550.3702999996,4191761.314099999
13,OX2106,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/17/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2120 Oxford St,"37.8713206, -122.2660938",8030,,564547.8706999999,4191791.7193
14,B2038,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/22/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,1665 Hearst Ave,"37.8726847, -122.2780172",8031,,563498.0096000005,4191934.8891000003
15,X,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/23/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2398 Bancroft Way,"37.8683171, -122.2615697",8032,,564948.4124999996,4191461.614
16,B7607,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/18/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,2011 Blake St,"37.8628753, -122.2692839",8033,,564274.6299,4190852.4964000005
17,C2153,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/21/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2152 Center St,"37.8706355, -122.2663352",8034,,564527.2366000004,4191715.5393000003
18,N4944,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/26/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,51 Tunnel Rd,"37.8574239, -122.2417959",8035,,566697.4532000003,4190266.9372000005
19,B2820,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/6/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,1737 Ward St,"37.858638, -122.2740048",8036,,563863.0248999996,4190379.1207
20,B7601,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/31/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,1227 Carletown St,"37.8589711, -122.2856052",8037,,562842.2858999996,4190408.2062
21,B5101,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/30/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2126 Bonar St,"37.8674686, -122.2871283",8038,,562701.1031999998,4191349.9934
22,B5102,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/30/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2126 Bonar St,"37.8671103, -122.2870541",8039,,562707.9332999997,4191310.2893000003
23,B5969,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/29/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,2019-2020: Minor Tree Issue,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,843 Gilman St,"37.879418, -122.3005873",8040,,561507.3569,4192666.8439000007
24,B6642,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/5/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,1933 Berryman St,"37.8834894, -122.2729007",8042,,563938.6678999998,4193137.1856999993
25,B6241,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/17/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2903 Dwight Way,"37.865961, -122.249207",8043,,566037.8881999999,4191208.8751999997
26,B4233,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/23/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2431 College Ave,"37.86631, -122.253955",8045,,565619.9505000003,4191244.2487000003
27,B6178,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/23/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2708 Channing Way,"37.867464, -122.25392",8046,,565622.0055,4191372.3117999993
28,X,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,3/17/2020,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,87,,2955 Claremont Ave,"37.857216, -122.245893",8047,,566337.2219000002,4190240.9510999992
29,B4598,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/22/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,2019-2020: No Power,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,2080 Martin Luther King Jr Way,"37.8706086, -122.2731983",7982,,563923.6288000001,4191707.831700001
30,B7608,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/4/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,> 30 feet,None,N/A,N/A,LED,42,,1601 Lincoln St,"37.8764251, -122.2803479",7983,,563289.8227000004,4192348.3102
31,B7622,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/19/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,2019-2020: No Power,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2508 Benvenue Ave,"37.8652522, -122.2552375",7984,,565508.0804000003,4191125.9828999992
32,X,,,Cobra Head,LED,74,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/29/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Wood,2 ft,> 30 feet,None,N/A,N/A,LED,87,,640 Gilman St,"37.878456, -122.3055923",7986,,561067.9989,4192556.8209000006
33,X,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,9/25/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,2019-2020 New Photocell Installed,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,HPS,200,,640 Gilman St,"37.8780544, -122.3055619",7987,,561071.0039999997,4192512.2826000005
34,B7627,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/16/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,3034 Tremont St,"37.8537232, -122.2684178",7990,,564358.7717000004,4189837.6525
35,B7625,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/15/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,1924 Woolsey St,"37.8520171, -122.2685225",7991,,564351.0438999999,4189648.2859000005
36,7624,B7624,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/15/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,1912 Woolsey St,"37.8518934, -122.2694528",7992,,564269.3079000004,4189633.9203999992
37,B7611,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/8/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,3211 California St,"37.8495362, -122.2760407",7995,,563691.7627999997,4189367.871200001
38,7615,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/15/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,1800 Prince St,"37.8519803, -122.2729246",7996,,563963.7999,4189641.1778999995
39,B6617,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,10/22/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,2 ft,25-30 feet,None,N/A,N/A,LED,42,,1801 Stuart St,"37.8580926, -122.2731715",7997,,563936.7992000002,4190319.178099999
40,B7604,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,8/20/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,> 30 feet,None,N/A,N/A,LED,42,,2491 Ellsworth St,"37.8649137, -122.2630054",7998,,564825.1157999998,4191083.0023999996
41,B443,,,Cobra Head,LED,34,5/29/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,8/15/2019,34W Type 2,EC1-6M2-MV-WW-2-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,25-30 feet,None,N/A,N/A,LED,42,,2619 Shasta Rd,"37.8837065, -122.2589237",7999,,565167.5839,4193170.9439000003
42,T2494,,T2494,Cobra Head,LED,74,2/4/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/12/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,3 ft,,None,N/A,N/A,LED,87,W/S TELEGRAPH 4/S/O HASTE T2494,2491 Telegraph Ave,"37.8652096, -122.258535",8026,,565218.0712000001,4191118.9472000003
43,SP1275,,SP1275,Cobra Head,LED,74,2/4/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,11/20/2019,74W Type 3,EC3-10M2-MV-WW-3-GY-610-WL,Leotek,Photocell,None,None,Metal,3 ft,,None,N/A,N/A,LED,87,E/S/O SAN PABLO 2/N/O GILMAN SP1275,1299 San Pablo Ave,"37.880834, -122.295786",8027,,561928.4095999999,4192827.1275999993
44,B6167,,B6167,Cobra Head,LED,34,2/4/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/04/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,,None,N/A,N/A,LED,42,WEST 35F S/O DELAWARE,1308 Deleware St,"37.8723035, -122.2867617",8041,,562729.2487000003,4191886.680400001
45,B5589,,B5589,Cobra Head,LED,34,2/4/2020,Installed between 2015-2019,N/A,LED Replaced by Tanko Lighting,12/19/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Wood,3 ft,,None,N/A,N/A,LED,42,PARKSIDE & PLAZA SE,108 The Plaza Dr,"37.85423, -122.242313",8044,,566654.8404000001,4189912.198999999
46,1200,Need,B1200,Cobra Head,LED,34,2/4/2020,Converted to LED by the City of Berkeley,N/A,LED Replaced by Tanko Lighting,12/9/2019,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,None,Metal,6 ft,< 25 feet,Reinstalled existing shield,HPS,100,LED,42,TEVLIN ST 1200,1200 Tevlin St,"37.8825448, -122.287819",141,,562627.5857999995,4193022.2619000003
47,PI983,PI983,P1983,Decorative,LED,48,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,SimplyLED Retrofit Kit,ALD-50-N40-V450,SimplyLED,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,PINNACLE PATH 50' N/O REGAL,979 Regal Rd,"37.892826, -122.261858",146,,564901.5427000001,4194180.727499999
48,7500,NO CITY DATA,U611,Decorative,LED,60,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"SimplyLED Retrofit Kit, High Bay",CLG-65-N40-AF-V450,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,UNIVERSITY 611,University Ave,"37.867072, -122.302192",148,,561376.4780000001,4191295.9772999994
49,U0580,U0580,U0580,Decorative,LED,60,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"SimplyLED Retrofit Kit, High Bay",CLG-65-N40-AF-V450,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,UNIVERSITY 620,University Ave,"37.867142, -122.30188",149,,561403.8624999998,4191303.949100001
50,U0584,U0584,U584,Decorative,LED,60,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"SimplyLED Retrofit Kit, High Bay",CLG-65-N40-AF-V450,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,S/S UNIVERSITY OVERPASS 584 OP,University Ave,"37.867196, -122.301576",150,,561430.5566999996,4191310.1405999996
51,U0584,U0584,U584,Decorative,LED,60,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"SimplyLED Retrofit Kit, High Bay",CLG-65-N40-AF-V450,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,S/S UNIVERSITY OVERPASS 584 OP,University Ave,"37.867196, -122.301576",150,,561430.5566999996,4191310.1405999996
52,U223,NO CITY DATA,U223,Decorative,LED,60,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"SimplyLED Retrofit Kit, High Bay",CLG-65-N40-AF-V450,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,UNIVERSITY MED N/B OFF,University Ave,"37.867119, -122.301937",151,,561398.8680999996,4191301.3597999997
53,2568,2568,B2568,Unknown,Unknown,Unknown,N/A,Converted to LED by the City of Berkeley,N/A,Unable to replace LED: Non-Leotek fixture found in field,N/A,Unknown,Unknown,Unknown,Unknown,N/A,Access Issue: City Pathway,Unknown,Unknown,Unknown,N/A,HPS,70,N/A,N/A,TAMALPAIS PATH 100F W/O TAMALPAIS,137 Tamalpais Rd,"37.886518, -122.260634",4232,,565014.7121000001,4193481.6928000003
54,3999,NO CITY DATA,B3999,Cobra Head,LED,34,N/A,Converted to LED by the City of Berkeley,N/A,LED Replaced by City of Berkeley,5/6/2020,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,Access Issue: Public Park,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,ACTON ST 2208,Charlie Dorr Mini Park,"37.866443, -122.284377",4422,,562943.9711999996,4191238.053200001
55,B1623,NO CITY DATA,1623,Unknown,Unknown,Unknown,N/A,Converted to LED by the City of Berkeley,N/A,Unable to replace LED: Non-Leotek fixture found in field,N/A,Unknown,Unknown,Unknown,Unknown,N/A,None,Unknown,Unknown,Unknown,N/A,HPS,200,N/A,N/A,HASTE ST,2594 Haste St,"37.8662172, -122.2564632",4523,,565399.4154000003,4191232.1919
56,9372,NO CITY DATA,B9372,Cobra Head,LED,34,N/A,Converted to LED by the City of Berkeley,N/A,LED Replaced by City of Berkeley,5/6/2020,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,Access Issue: Gated Access Parking Lot,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,ROSE ST,2105 Martin Luther King Jr Way,"37.870308, -122.272178",4793,,564013.6275000004,4191675.1788999997
57,A2887,NO CITY DATA,A2887,Cobra Head,LED,34,N/A,Converted to LED by the City of Berkeley,N/A,LED Replaced by City of Berkeley,5/6/2020,34W Type 3,EC1-6M2-MV-WW-3-GY-420-WL,Leotek,Photocell,None,Access Issue: Gated Access Parking Lot,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,ADELINE ST,1900 Addison St,"37.870429, -122.272092",4794,,564021.0867999997,4191688.6630000006
58,2920,DE2920,DE2920,Decorative,LED,40,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Zenith, Type III",ECOSWAP-40W42LED4K-R-RLE3,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,S/S DERBY 1/E/O WARRING DE2920,2920 Derby St,"37.862361, -122.248207",6886,,566129.0640000002,4190810.156300001
59,CG535,CG535,B2445,Decorative,LED,40,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Zenith, Type III",ECOSWAP-40W42LED4K-R-RLE3,Lumec,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,100,N/A,N/A,535 CRAGMONT ST,531 Cragmont Blvd,"37.902228, -122.268723",6914,,564289.7468999997,4195219.147600001
60,7475,NO CITY DATA,B7475,Decorative,LED,40,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Zenith, Type III",ECOSWAP-40W42LED4K-R-RLE3,SimplyLED,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,ACTON ST 2208,2206 Acton St,"37.866563, -122.284282",6920,,562952.2251000004,4191251.431500001
61,CCP24,NO CITY DATA,CCP24,Decorative,LED,65,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Zenith, Type III",ECOSWAP-65W42LED4K-R-RLE3,Lumec,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,MILVIA ST 2188,Allston Way,"37.869172, -122.270704",6925,,564144.2558000004,4191550.149599999
62,AT581,AT581,AT581,Decorative,LED,30,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-100-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,ARLINGTON 581,Arlington Ave,"37.8997384, -122.2776983",7212,,563502.818,4194936.771400001
63,U0585,U0585,U585,Decorative,LED,40,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Zenith, Type III",ECOSWAP-40W42LED4K-R-RLE3,SimplyLED,N/A,None,N/A,Concrete,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,N/S UNIVERSITY OVERPASS 8/E/O 2ND ST U585 OP,University Ave,"37.86724, -122.301299",7303,,561454.8842000002,4191315.2048000004
64,B3603,3603,B3603,Cobra Head,LED,39,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,Photocell,None,N/A,Wood,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,BILLYJEAN WALK 250' W/O HILLDALE,917 Euclid Ave,"37.89477, -122.263704",7304,,564737.5274,4194395.1361
65,PI985,PI985,P1985,Cobra Head,LED,39,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,GE Cobra Head,ERS102XAX7407,GE,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,PINNACLE PATH 100' N/O REGAL RD,983 Regal Rd,"37.89292, -122.261677",7305,,564917.3749000002,4194191.283
66,EC220,EC220,EC220,Decorative,LED,30,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-100-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,W/S EL CAMINO 3/S/O THE UPLANDS EC220,El Camino Real,"37.8523948, -122.2408366",7319,,566786.3790999996,4189709.635500001
67,EC206,EC206,EC206,Decorative,LED,30,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-100-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,W/S EL CAMINO 2/S/O THE UPLANDS EC206,190 El Camino Real,"37.8527866, -122.2404793",7323,,566817.4589,4189753.3619999997
68,AD2099N,AD2099N,AD2099N,Decorative,LED,55,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-175-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,ADDISON ST 2 POLES W/O SHATTUCK AVE BADGE AD2090,2036 Shattuck Sq,"37.8712615, -122.2684016",7525,,564344.9457999999,4191783.5683999993
69,S2245,S2245,S2245,Decorative,LED,55,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-175-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,SHATTUCK AVE 2 POLES N/O KITTREDGE ST,2237 Shattuck Ave,"37.8686743, -122.2676846",7539,,564410.2599999998,4191497.008300001
70,EU1841,EU1841,EU1841,Decorative,LED,55,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-175-5-UAC-40,Sensity,Photocell,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,EUCLID AVE 1839   BADGE NN103,1839 Euclid Ave,"37.875552, -122.260174",7605,,565064.8090000004,4192265.3125
71,C2100A,C2100A,C2100A,Decorative,LED,55,N/A,Converted to LED by the City of Berkeley,N/A,N/A,N/A,"Sensity Post Top, Type V",PT-175-5-UAC-40,Sensity,N/A,None,N/A,Metal,2 ft,< 25 feet,N/A,HPS,70,N/A,N/A,S/S CENTER 1 POLE E/O E. SHATTUCK AVE   BADGE NN60,Center St,"37.8702807, -122.2679469",7606,,564385.7912999997,4191675.0604
