,name,start_id,end_id,highway,crime_count,light_count,component,start_lat,start_lon,end_lat,end_lon,distance
45,Clark Kerr Trail,34351144,34351148,path,0,0,0,37.8661317,-122.2434344,37.8662173,-122.2435784,51.96671251200056
46,Clark Kerr Trail,34351148,34351151,path,0,0,0,37.8662173,-122.2435784,37.8662348,-122.243472,31.331176004897227
47,Clark Kerr Trail,34351151,2532688222,path,0,0,0,37.8662348,-122.243472,37.8662386,-122.2434726,1.3985525481837535
48,Clark Kerr Trail,2532688222,2532688223,path,0,0,0,37.8662386,-122.2434726,37.8662698,-122.2435813,33.342864514998716
49,Clark Kerr Trail,2532688223,34351155,path,0,0,0,37.8662698,-122.2435813,37.8662755,-122.2435844,2.2654322709358086
50,Clark Kerr Trail,34351155,2532688224,path,0,0,0,37.8662755,-122.2435844,37.8662816,-122.2435808,2.4576690063913103
51,Clark Kerr Trail,2532688224,2532688225,path,0,0,0,37.8662816,-122.2435808,37.8662966,-122.2435181,18.886740306672923
52,Clark Kerr Trail,2532688225,2532688228,path,0,0,0,37.8662966,-122.2435181,37.8663419,-122.2434908,18.32065640007967
53,Clark Kerr Trail,2532688228,2532688229,path,0,0,0,37.8663419,-122.2434908,37.8663455,-122.2434736,5.129670892198873
54,Clark Kerr Trail,2532688229,2532680498,path,0,0,0,37.8663455,-122.2434736,37.8663609,-122.2434703,5.7041911970865895
55,Clark Kerr Trail,2532680498,2532688233,path,0,0,0,37.8663609,-122.2434703,37.866399,-122.2435091,17.85282504587906
56,Clark Kerr Trail,2532688233,34351349,path,0,0,0,37.866399,-122.2435091,37.8665064,-122.2434657,41.171034830909264
57,Dwight Way,35719182,35719187,residential,1,0,0,37.8685251,-122.2454605,37.868289,-122.2431001,685.884058040932
58,Dwight Way,35719187,775883165,residential,1,0,0,37.868289,-122.2431001,37.8682551,-122.2430572,17.499297054502104
59,Dwight Way,775883165,35719190,residential,0,0,0,37.8682551,-122.2430572,37.867406,-122.2433737,323.24737369881757
60,Dwight Way,35719190,775882838,residential,0,0,0,37.867406,-122.2433737,37.8666056,-122.243623,301.0224865150315
61,Dwight Way,775882838,35719193,residential,0,0,0,37.8666056,-122.243623,37.8665274,-122.2435621,33.524184709484096
62,Dwight Way,35719193,34351349,residential,0,0,0,37.8665274,-122.2435621,37.8665064,-122.2434657,28.828543549214885
63,Dwight Way,34351349,35719198,residential,0,0,0,37.8665064,-122.2434657,37.8665279,-122.2427622,202.9528367763595
64,,34351184,2532688167,path,0,0,0,37.8670651,-122.2407039,37.867185,-122.2399556,220.11520386443271
65,,2532688167,34351221,path,0,0,0,37.867185,-122.2399556,37.8673435,-122.2398616,63.9150922202322
66,,34351221,760724557,path,0,0,0,37.8673435,-122.2398616,37.8674203,-122.2399335,34.87581573665361
67,,760724557,34351228,path,0,0,0,37.8674203,-122.2399335,37.8675049,-122.2402212,88.50477026123848
68,,34351228,34351204,path,0,0,0,37.8675049,-122.2402212,37.8676253,-122.2401806,45.50280475499344
69,Panoramic Place,35719242,34351361,residential,0,0,0,37.8696223,-122.243097,37.8696779,-122.2425117,169.9443719341284
70,Panoramic Place,34351361,34351364,residential,0,0,0,37.8696779,-122.2425117,37.8696546,-122.2419618,158.75020157371998
71,Panoramic Place,34351364,35719245,residential,0,0,0,37.8696546,-122.2419618,37.8691466,-122.2408317,374.903661514341
72,,34351364,34351369,path,0,0,0,37.8696546,-122.2419618,37.8693524,-122.2409829,303.0068670953451
73,,34351369,34351371,path,0,0,0,37.8693524,-122.2409829,37.869212,-122.2406169,117.30837173523562
74,,34351369,34351312,path,0,0,0,37.8693524,-122.2409829,37.8696949,-122.2406218,162.73429222938603
75,,35719242,34351354,track,0,0,0,37.8696223,-122.243097,37.8696849,-122.2430972,22.86251081581516
76,,34351354,34351336,track,0,0,0,37.8696849,-122.2430972,37.8697802,-122.2431026,34.83975223170388
77,,33947423,34351343,path,0,0,0,37.8690234,-122.2394592,37.8688836,-122.2395487,57.20564754058778
78,Eloi's Way,34485314,2539109148,service,1,0,0,37.8661398,-122.2470015,37.8656311,-122.2466958,205.62598075959002
79,Eloi's Way,2539109148,2539109144,service,0,0,0,37.8656311,-122.2466958,37.8655853,-122.2466596,19.715148630726773
80,Eloi's Way,2539109144,1419660733,service,0,0,0,37.8655853,-122.2466596,37.8655048,-122.246596,34.64810776603096
81,,2443796077,34485331,steps,0,0,0,37.8642577,-122.2452505,37.8642146,-122.2451424,34.91230227230523
82,,34485331,34485332,path,0,0,0,37.8642146,-122.2451424,37.8641508,-122.2451077,25.3571431594095
83,,34485332,34485333,path,0,0,0,37.8641508,-122.2451077,37.8642863,-122.2449199,73.34734825652974
84,,34485333,34485334,path,0,0,0,37.8642863,-122.2449199,37.8642799,-122.2448609,17.168033714607095
85,,34485334,34485335,path,0,0,0,37.8642799,-122.2448609,37.8642482,-122.2448207,16.380785905459717
86,,34485335,33947074,path,0,0,0,37.8642482,-122.2448207,37.8637984,-122.2444719,192.6035062308392
87,Upper Jordan Fire Trail,35719039,4728624104,track,0,0,0,37.8811202,-122.2437471,37.8810545,-122.2437862,26.510152229483996
88,Upper Jordan Fire Trail,4728624104,7564692805,track,0,0,0,37.8810545,-122.2437862,37.880778,-122.2436707,106.32937769423422
89,Upper Jordan Fire Trail,7564692805,92042035,track,0,0,0,37.880778,-122.2436707,37.8804466,-122.2435346,127.2324441210607
90,Upper Jordan Fire Trail,92042035,760715306,track,0,0,0,37.8804466,-122.2435346,37.8802477,-122.2433762,85.80104465264141
91,Upper Jordan Fire Trail,760715306,760715305,track,0,0,0,37.8802477,-122.2433762,37.8801068,-122.2427669,183.0282184073657
92,Upper Jordan Fire Trail,760715305,843011023,track,0,0,0,37.8801068,-122.2427669,37.8803895,-122.2418099,294.5652039510753
93,Upper Jordan Fire Trail,843011023,92042000,track,0,0,0,37.8803895,-122.2418099,37.8807494,-122.2416061,143.9731504542661
94,Upper Jordan Fire Trail,92042000,843011019,track,0,0,0,37.8807494,-122.2416061,37.8811474,-122.2415632,145.88058434585193
95,Upper Jordan Fire Trail,843011019,92041991,track,0,0,0,37.8811474,-122.2415632,37.8813591,-122.2413325,101.98358075902598
96,Upper Jordan Fire Trail,92041991,92041975,track,0,0,0,37.8813591,-122.2413325,37.8812607,-122.240633,204.82506348870513
97,Upper Jordan Fire Trail,92041975,92041967,track,0,0,0,37.8812607,-122.240633,37.8808574,-122.2400348,226.78657371150652
