the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.25983831137032 37.8562422750718),2399,ASHBY,2301,565111.321417,94705,ASHBY,2996,26.824,35,4190123.09744,TELEGRAPH AVE,213,Pole Mast,MASTARM POLE
POINT (-122.2598688180312 37.856099620849925),2399,ASHBY,2301,565108.762928,94705,ASHBY,3000,28.144,35,4190107.24779,TELEGRAPH AVE,214,Single Pole,SINGLE POLE
POINT (-122.25799620970827 37.856499229646154),2499,ASHBY,2441,565273.144874,94705,ASHBY,2935,32.495,35,4190152.89283,FLORENCE ST,215,Single Pole,SINGLE POLE
POINT (-122.25786742829992 37.856371787245415),2499,ASHBY,2441,565284.586048,94705,ASHBY,2450,32.526,35,4190138.84319,ASHBY AVE,216,Pole Mast,MASTARM POLE
POINT (-122.25953610366507 37.856143745547435),2431,ASHBY,2401,565137.993619,94705,ASHBY,3001,29.476,35,4190112.37619,TELEGRAPH AVE,217,Pole Mast,MASTARM POLE
POINT (-122.25811281830195 37.85632631855961),2439,ASHBY,2433,565263.03915,94705,ASHBY,2437,31.412,35,4190133.62665,WEBSTER ST,218,Single Pole,SINGLE POLE
POINT (-122.27082124888241 37.85423816682691),1967,ASHBY,1901,564146.886199,94703,ASHBY,0,-1.473,35,4189893.13514,ADELINE ST,219,Single Pole,SINGLE POLE
POINT (-122.27098726239575 37.85440918245395),1967,ASHBY,1901,564132.133713,94703,ASHBY,1901,-1.642,35,4189911.99492,ASHBY AVE,220,Single Pole,SINGLE POLE
POINT (-122.26934140297925 37.854422659002026),3019,ADELINE,3001,564276.912262,94703,ADELINE,0,1.916,35,4189914.6224,ADELINE ST,221,Single Pole,SINGLE POLE
POINT (-122.26929939943992 37.85441776660468),3019,ADELINE,3001,564280.611348,94703,ADELINE,0,4.48,35,4189914.10877,ADELINE ST,222,Pole Mast,MASTARM POLE
POINT (-122.2692871332825 37.85445816760324),3019,ADELINE,3001,564281.655687,94703,ADELINE,1985,6.195,35,4189918.59966,ASHBY AVE,223,Pole Mast,MASTARM POLE
POINT (-122.27416860374423 37.853971658737564),2999,KING,2921,563852.641029,94703,KING,2949,-1.45,25,4189861.27083,KING ST,224,Single Pole,SINGLE POLE
POINT (-122.27417618519466 37.854020047296686),2999,KING,2921,563851.931575,94703,KING,2949,-3.074,25,4189866.63459,KING ST,225,Single Pole,SINGLE POLE
POINT (-122.27431732470639 37.85398973152182),2999,KING,2921,563839.541236,94703,KING,2998,-1.552,25,4189863.17402,KING ST,226,Single Pole,SINGLE POLE
POINT (-122.29260816520919 37.85532145841232),899,GRAYSON,701,562229.324678,94710,GRAYSON,801,-17.105,25,4189998.58206,GRAYSON ST,227,Pole Mast,MASTARM POLE
POINT (-122.29185610273345 37.85359897824358),2899,7TH,2801,562296.93386,94710,7TH,901,-19.04,35,4189807.97198,HEINZ AVE,228,Pole Mast,MASTARM POLE
POINT (-122.29252729341705 37.85519073179045),2899,7TH,2801,562236.548823,94710,7TH,2800,-16.101,35,4189984.13129,SEVENTH ST,229,Pole Mast,MASTARM POLE
POINT (-122.29236059999789 37.855301018443164),925,GRAYSON,901,562251.120899,94710,GRAYSON,906,-17.206,25,4189996.47926,GRAYSON ST,230,Pole Mast,MASTARM POLE
POINT (-122.29237538835828 37.85526576032509),925,GRAYSON,901,562249.849456,94710,GRAYSON,906,-17.225,25,4189992.55725,GRAYSON ST,231,Single Pole,SINGLE POLE
POINT (-122.26873148096256 37.85500893371382),2049,ASHBY,2001,564330.05888,94703,ASHBY,2035,10.748,35,4189980.09119,ASHBY AVE,232,Single Pole,SINGLE POLE
POINT (-122.27233556605711 37.86431069113859),2423,MARTIN LUTHER KING J,2401,564004.956355,94704,MARTIN LUTHER KING J,2422,15.232,35,4191009.65846,M L KING JR WAY,233,Single Pole,SINGLE POLE
POINT (-122.27213076841868 37.86435972910381),2423,MARTIN LUTHER KING J,2401,564022.928261,94704,MARTIN LUTHER KING J,1903,13.951,35,4191015.23999,HASTE ST,234,Single Pole,SINGLE POLE
POINT (-122.26558094082137 37.86518679742602),2199,HASTE,2101,564598.33307,94704,HASTE,2137,25.628,25,4191111.51768,HASTE ST,235,Pole Mast,MASTARM POLE
POINT (-122.26556015218303 37.86506017949036),2199,HASTE,2101,564600.272292,94704,HASTE,2424,24.868,25,4191097.48335,FULTON ST,236,Pole Mast,MASTARM POLE
POINT (-122.26736099104669 37.86498525720993),2199,HASTE,2101,564441.93609,94704,HASTE,2429,21.901,25,4191087.926,SHATTUCK AVE,237,Single Pole,SINGLE POLE
POINT (-122.27206753411511 37.864223614300315),1999,HASTE,1901,564028.608657,94704,HASTE,2429,16.207,25,4191000.18172,M L KING JR WAY,238,Single Pole,SINGLE POLE
POINT (-122.26512793136037 37.86420586674965),2299,DWIGHT,2201,564639.036517,94704,DWIGHT,2511,47.942,35,4191002.99535,FULTON ST,239,Single Pole,SINGLE POLE
POINT (-122.26303421603853 37.86445614050894),2521,ELLSWORTH,2501,564822.981652,94704,ELLSWORTH,2248,47.862,25,4191032.21523,DWIGHT WAY,240,Single Pole,SINGLE POLE
POINT (-122.26749648945474 37.86388014860806),2099,DWIGHT,2001,564430.979751,94704,DWIGHT,2500,52.925,35,4190965.21854,SHATTUCK AVE,241,Single Pole,SINGLE POLE
POINT (-122.26767506550568 37.86399634280382),2099,DWIGHT,2001,564415.170508,94704,DWIGHT,2484,48.415,35,4190977.98677,SHATTUCK AVE,242,Single Pole,SINGLE POLE
POINT (-122.29414551448319 37.860076942313455),899,DWIGHT,851,562090.092817,94710,DWIGHT,740,-16.758,25,4190525.18603,DWIGHT WAY,243,Pole Mast,MASTARM POLE
POINT (-122.2941812634316 37.86010951398816),899,DWIGHT,851,562086.920718,94710,DWIGHT,740,-22.093,25,4190528.77705,DWIGHT WAY,244,Single Pole,SINGLE POLE
