the_geom,t_addl,street_nam,f_addl,x,t_zip,fullname,i_strno,z,speed,y,str_nam,id,mounttype,poletype
POINT (-122.29207585458414 37.86930762495919),1999,SAN PABLO,1901,562264.384999,94702,SAN PABLO,1101,-19.766,35,4191550.72475,UNIVERSITY AVE,327,Single Pole,SINGLE POLE
POINT (-122.29201219842983 37.86923104958268),1999,SAN PABLO,1901,562270.047762,94702,SAN PABLO,1101,-17.558,35,4191542.27053,UNIVERSITY AVE,328,Single Pole,SINGLE POLE
POINT (-122.3057321050686 37.86628670811274),599,UNIVERSITY,201,561065.747965,94710,UNIVERSITY,599,-28.092,25,4191206.5261,UNIVERSITY AVE,329,Single Pole,SINGLE POLE
POINT (-122.2911355039965 37.86647511337753),1127,ALLSTON,1101,562349.479955,94702,ALLSTON,2197,-13.844,25,4191237.07962,SAN PABLO AVE,330,Single Pole,SINGLE POLE
POINT (-122.29110903507913 37.86634143281087),1127,ALLSTON,1101,562351.92085,94702,ALLSTON,2201,-16.351,25,4191222.26528,SAN PABLO AVE,331,Single Pole,SINGLE POLE
POINT (-122.29108687583343 37.86637416775571),1127,ALLSTON,1101,562353.841532,94702,ALLSTON,2201,-16.025,25,4191225.91264,SAN PABLO AVE,332,Single Pole,SINGLE POLE
POINT (-122.29678072523173 37.865316688996245),2199,6TH,2101,561853.90636,94710,6TH,2131,-22.076,35,4191104.795,SIXTH ST,333,Pole Mast,MASTARM POLE
POINT (-122.29182909316751 37.86769735986764),1099,ADDISON,1023,562287.444279,94702,ADDISON,2100,-16.066,25,4191372.22721,SAN PABLO AVE,334,Pole Mast,MASTARM POLE
POINT (-122.2919114309488 37.867877174579476),1099,ADDISON,1023,562280.050588,94702,ADDISON,2096,-16.786,25,4191392.12248,SAN PABLO AVE,335,Single Pole,SINGLE POLE
POINT (-122.29136004473891 37.86627894661658),1099,ALLSTON,1021,562329.895114,94702,ALLSTON,2200,-16.944,25,4191215.16537,SAN PABLO AVE,336,Pole Mast,MASTARM POLE
POINT (-122.29143503002355 37.8663030839036),1099,ALLSTON,1021,562323.278797,94702,ALLSTON,2200,-17.111,25,4191217.79367,SAN PABLO AVE,337,Single Pole,SINGLE POLE
POINT (-122.29146336598522 37.8664079477676),1099,ALLSTON,1021,562320.697745,94702,ALLSTON,2198,-16.467,25,4191229.40913,SAN PABLO AVE,338,Single Pole,SINGLE POLE
POINT (-122.2914509048196 37.866443636998596),1099,ALLSTON,1021,562321.764522,94702,ALLSTON,2198,-16.483,25,4191233.37733,SAN PABLO AVE,339,Single Pole,SINGLE POLE
POINT (-122.2978546478381 37.86808935863603),829,UNIVERSITY,801,561757.130009,94710,UNIVERSITY,811,-21.792,25,4191411.71614,UNIVERSITY AVE,340,Pole Mast,MASTARM POLE
POINT (-122.29753207458947 37.86795590059807),899,UNIVERSITY,831,561785.614305,94710,UNIVERSITY,830,-20.602,35,4191397.12203,UNIVERSITY AVE,341,Single Pole,SINGLE POLE
POINT (-122.2945142857654 37.86848204557059),2099,9TH,2001,562050.606304,94710,9TH,990,-13.606,25,4191457.50128,UNIVERSITY AVE,342,Single Pole,SINGLE POLE
POINT (-122.29446181638343 37.868483325544034),2099,9TH,2001,562055.219379,94710,9TH,990,-13.692,25,4191457.67818,UNIVERSITY AVE,343,Single Pole,SINGLE POLE
POINT (-122.29429960409193 37.868557077780814),2099,9TH,2001,562069.424779,94710,9TH,1000,-14.881,25,4191465.96873,UNIVERSITY AVE,344,Single Pole,SINGLE POLE
POINT (-122.29429848015504 37.86860041513414),1013,UNIVERSITY,1001,562069.48781,94710,UNIVERSITY,1000,-13.715,35,4191470.77813,UNIVERSITY AVE,345,Single Pole,SINGLE POLE
POINT (-122.29237480564353 37.869169353993705),1099,UNIVERSITY,1015,562238.2073,94702,UNIVERSITY,1976,-16.675,35,4191535.18295,SAN PABLO AVE,346,Pole Mast,MASTARM POLE
POINT (-122.29223412363598 37.86896344257605),1099,UNIVERSITY,1015,562250.754022,94710,UNIVERSITY,1074,-13.743,35,4191512.43071,UNIVERSITY AVE,347,Pole Mast,MASTARM POLE
POINT (-122.29229107533442 37.86899151050373),1099,UNIVERSITY,1015,562245.72049,94710,UNIVERSITY,1074,-17.158,35,4191515.50713,UNIVERSITY AVE,348,Single Pole,SINGLE POLE
POINT (-122.2982459280176 37.869377090799645),825,HEARST,801,561721.640327,94710,HEARST,1816,-19.834,25,4191554.3331,SIXTH ST,349,Single Pole,SINGLE POLE
POINT (-122.29797626763256 37.869264021156354),899,HEARST,827,561745.452493,94710,HEARST,1901,-23.854,25,4191541.96616,SIXTH ST,350,Single Pole,SINGLE POLE
POINT (-122.28765602478998 37.86979819998718),1259,UNIVERSITY,1251,562652.713922,94702,UNIVERSITY,1261,-7.609,35,4191608.11219,UNIVERSITY AVE,351,Pole Mast,MASTARM POLE
POINT (-122.28758717689006 37.86961677679789),1259,UNIVERSITY,1251,562658.922324,94720,UNIVERSITY,0,-7.22,35,4191588.02954,UNIVERSITY AVE,352,Single Pole,SINGLE POLE
POINT (-122.28736181815825 37.86961637010565),2099,BONAR,2001,562678.744038,94702,BONAR,1248,-8.936,25,4191588.13538,UNIVERSITY AVE,353,Pole Mast,MASTARM POLE
POINT (-122.28747534547185 37.869824966516354),1299,UNIVERSITY,1261,562668.581899,94702,UNIVERSITY,1261,-7.841,35,4191611.20367,UNIVERSITY AVE,354,Single Pole,SINGLE POLE
POINT (-122.29439785831212 37.86882460807401),1999,9TH,1901,562060.55875,94710,9TH,1001,-15.669,25,4191495.5863,UNIVERSITY AVE,355,Single Pole,SINGLE POLE
POINT (-122.29433689557827 37.86881362456667),1999,9TH,1901,562065.929707,94710,9TH,1001,-15.808,25,4191494.40859,UNIVERSITY AVE,356,Single Pole,SINGLE POLE
POINT (-122.29459007053964 37.86873117005237),1999,9TH,1901,562043.731248,94710,9TH,997,-15.875,25,4191485.09118,UNIVERSITY AVE,357,Single Pole,SINGLE POLE
POINT (-122.29456010386902 37.86875707753309),1999,9TH,1901,562046.345539,94710,9TH,997,-15.734,25,4191487.98587,UNIVERSITY AVE,358,Single Pole,SINGLE POLE
POINT (-122.29806175338892 37.86943674906638),1899,6TH,1801,561737.789998,94710,6TH,827,-22.545,35,4191561.07429,HEARST AVE,359,Pole Mast,MASTARM POLE
POINT (-122.29120203731311 37.86652325904991),2199,SAN PABLO,2131,562343.586663,94702,SAN PABLO,2197,-17.704,35,4191242.37749,SAN PABLO AVE,360,Pole Mast,MASTARM POLE
POINT (-122.29169238612819 37.86795801617779),2109,SAN PABLO,2101,562299.248457,94702,SAN PABLO,2111,-17.221,35,4191401.23911,SAN PABLO AVE,361,Pole Mast,MASTARM POLE
POINT (-122.29202528675059 37.869024094980034),2099,SAN PABLO,2001,562269.070619,94702,SAN PABLO,2001,-17.677,35,4191519.29923,SAN PABLO AVE,362,Single Pole,SINGLE POLE
POINT (-122.25874183257956 37.865957409309935),2499,HASTE,2401,565199.219627,94704,HASTE,2464,46.216,25,4191201.77357,TELEGRAPH AVE,363,Single Pole,SINGLE POLE
POINT (-122.26081283635821 37.865675567648815),2499,HASTE,2401,565017.303878,94704,HASTE,2400,43.189,25,4191169.05825,HASTE ST,364,Single Pole,SINGLE POLE
POINT (-122.2587652908441 37.866050746964945),2499,HASTE,2401,565197.073872,94704,HASTE,2432,44.286,25,4191212.11343,TELEGRAPH AVE,365,Single Pole,SINGLE POLE
POINT (-122.26770386885622 37.86939064193157),2199,ALLSTON,2101,564407.941501,94704,ALLSTON,2108,22.387,25,4191576.47427,ALLSTON WAY,366,Single Pole,SINGLE POLE
POINT (-122.26772673908658 37.86949443903914),2199,ALLSTON,2101,564405.839619,94704,ALLSTON,2187,23.749,25,4191587.97529,SHATTUCK AVE,367,Single Pole,SINGLE POLE
POINT (-122.26743670728806 37.86572218782845),2199,CHANNING,2101,564434.63406,94704,CHANNING,2401,19.944,25,4191169.63743,SHATTUCK AVE,368,Single Pole,SINGLE POLE
POINT (-122.26738816034924 37.86575955166641),2199,CHANNING,2101,564438.871933,94704,CHANNING,2401,21.23,25,4191173.8161,SHATTUCK AVE,369,Single Pole,SINGLE POLE
POINT (-122.26742275709198 37.86587451045488),2199,CHANNING,2101,564435.728445,94704,CHANNING,2399,21.159,25,4191186.54724,SHATTUCK AVE,370,Single Pole,SINGLE POLE
POINT (-122.25097770884524 37.865964367048576),2859,DWIGHT,2841,565882.135696,94704,DWIGHT,2499,51.438,25,4191207.99772,PIEDMONT AVE,371,Single Pole,SINGLE POLE
POINT (-122.25074991763317 37.86587188543144),2859,DWIGHT,2841,565902.254188,94704,DWIGHT,2450,50.816,25,4191197.89769,WARRING ST,372,Single Pole,SINGLE POLE
POINT (-122.2583865276908 37.86519542065116),2499,TELEGRAPH,2451,565231.143098,94704,TELEGRAPH,2499,50.473,35,4191117.47761,TELEGRAPH AVE,373,Single Pole,SINGLE POLE
POINT (-122.25843645335215 37.865217039851586),2499,TELEGRAPH,2451,565226.732216,94704,TELEGRAPH,2499,50.752,35,4191119.8415,TELEGRAPH AVE,374,Single Pole,SINGLE POLE
POINT (-122.25855535557592 37.86520456673267),2499,TELEGRAPH,2451,565216.284808,94704,TELEGRAPH,2482,50.575,35,4191118.37485,TELEGRAPH AVE,375,Single Pole,SINGLE POLE
POINT (-122.25857911477169 37.86594339803772),2499,TELEGRAPH,2451,565213.544618,94704,TELEGRAPH,2455,43.593,35,4191200.33281,TELEGRAPH AVE,376,Single Pole,SINGLE POLE
POINT (-122.25889551027576 37.86776393887975),2599,DURANT,2501,565184.110624,94704,DURANT,2500,52.484,25,4191402.10411,DURANT AVE,377,Single Pole,SINGLE POLE
POINT (-122.25664126675753 37.86802383199841),2399,BOWDITCH,2321,565382.156217,94704,BOWDITCH,2600,51.266,25,4191432.51616,DURANT AVE,378,Single Pole,SINGLE POLE
POINT (-122.25678255136923 37.86800179600473),2399,BOWDITCH,2321,565369.749217,94704,BOWDITCH,2328,51.363,25,4191429.97293,BOWDITCH ST,379,Single Pole,SINGLE POLE
POINT (-122.26313833519494 37.86554329178784),2423,ELLSWORTH,2401,564812.871859,94704,ELLSWORTH,2301,30.434,25,4191152.76419,HASTE ST,380,Single Pole,SINGLE POLE
POINT (-122.25853620237044 37.86598562821573),2599,HASTE,2501,565217.281707,94704,HASTE,2455,43.874,25,4191205.04829,TELEGRAPH AVE,381,Single Pole,SINGLE POLE
POINT (-122.2589310929353 37.86693127386664),2499,CHANNING,2401,565181.714662,94704,CHANNING,2392,48.89,25,4191309.69296,TELEGRAPH AVE,382,Pole Mast,MASTARM POLE
POINT (-122.28180449083357 37.86727682038077),1499,ALLSTON,1401,563169.532274,94702,ALLSTON,2200,-4.064,25,4191332.30495,SACRAMENTO ST,383,Single Pole,SINGLE POLE
POINT (-122.28186700618183 37.86740114748875),1499,ALLSTON,1401,563163.927942,94702,ALLSTON,2152,0.085,25,4191346.05727,SACRAMENTO ST,384,Single Pole,SINGLE POLE
POINT (-122.28166662507498 37.867278067612475),2299,SACRAMENTO,2201,563181.656965,94702,SACRAMENTO,2200,-1.683,35,4191332.53695,SACRAMENTO ST,385,Single Pole,SINGLE POLE
POINT (-122.28154983355078 37.86751521695606),2167,SACRAMENTO,2101,563191.72781,94703,SACRAMENTO,2153,3.313,35,4191358.92823,SACRAMENTO ST,386,Single Pole,SINGLE POLE
POINT (-122.2816718481463 37.867506774572206),2167,SACRAMENTO,2101,563181.002533,94702,SACRAMENTO,2152,-2.133,35,4191357.90919,SACRAMENTO ST,387,Single Pole,SINGLE POLE
POINT (-122.26814035561365 37.868504897687764),2099,KITTREDGE,2051,564370.320813,94704,KITTREDGE,2060,23.131,25,4191477.89864,ALLSTON WAY,388,Single Pole,SINGLE POLE
POINT (-122.26815286081934 37.86838535325488),2099,KITTREDGE,2051,564369.325367,94704,KITTREDGE,2090,22.99,25,4191464.62684,KITTREDGE ST,389,Single Pole,SINGLE POLE
POINT (-122.26780680398464 37.86769740048365),2299,SHATTUCK,2251,564400.362151,94704,SHATTUCK,2276,21.947,35,4191388.53514,SHATTUCK AVE,390,Single Pole,SINGLE POLE
POINT (-122.2676966075635 37.86771900137462),2299,SHATTUCK,2251,564410.035287,94704,SHATTUCK,2105,22.957,35,4191391.00773,BANCROFT WAY,391,Single Pole,SINGLE POLE
POINT (-122.26364964936907 37.867131316276065),2299,DURANT,2201,564766.506542,94704,DURANT,2298,35.683,25,4191328.6041,DURANT AVE,392,Single Pole,SINGLE POLE
POINT (-122.26567710246931 37.86687801940304),2299,DURANT,2201,564588.398617,94704,DURANT,2200,25.26,25,4191299.09506,DURANT AVE,393,Single Pole,SINGLE POLE
POINT (-122.26367067929833 37.86728219427367),2299,DURANT,2201,564764.524734,94704,DURANT,2241,38.081,25,4191345.32992,DURANT AVE,394,Single Pole,SINGLE POLE
POINT (-122.25386358087373 37.86576762391311),2499,COLLEGE,2431,565628.472681,94704,COLLEGE,0,61.596,35,4191184.13486,DWIGHT WAY,395,Pole Mast,MASTARM POLE
POINT (-122.25412298465704 37.86650345062501),2499,COLLEGE,2431,565605.002831,94704,COLLEGE,2612,60.284,35,4191265.59422,HASTE ST,396,Single Pole,SINGLE POLE
POINT (-122.25417837764455 37.86756159770064),2399,COLLEGE,2321,565599.192691,94704,COLLEGE,2345,62.32,35,4191382.95904,COLLEGE AVE,397,Single Pole,SINGLE POLE
POINT (-122.25434453711699 37.86823864386233),2399,COLLEGE,2321,565583.977641,94704,COLLEGE,2333,60.458,35,4191457.96227,COLLEGE AVE,398,Single Pole,SINGLE POLE
POINT (-122.2544991402687 37.86829226372942),2399,COLLEGE,2321,565570.332127,94704,COLLEGE,0,61.381,35,4191463.80178,COLLEGE AVE,399,Single Pole,SINGLE POLE
POINT (-122.26101546393501 37.86575886439765),2399,HASTE,2301,564999.407562,94704,HASTE,2418,42.205,25,4191178.15941,DANA ST,400,Single Pole,SINGLE POLE
POINT (-122.26780199161058 37.86570457393807),2099,CHANNING,2001,564402.519737,94704,CHANNING,2410,18.736,25,4191167.43146,SHATTUCK AVE,401,Single Pole,SINGLE POLE
POINT (-122.26768475234202 37.8656772873048),2099,CHANNING,2001,564412.855804,94704,CHANNING,2410,18.419,25,4191164.48449,SHATTUCK AVE,402,Single Pole,SINGLE POLE
POINT (-122.26782083712375 37.865821157928),2099,CHANNING,2001,564400.760246,94707,CHANNING,2352,23.007,25,4191180.35322,SHATTUCK AVE,403,Single Pole,SINGLE POLE
POINT (-122.26773268149421 37.86586316780043),2099,CHANNING,2001,564408.47813,94707,CHANNING,2352,21.312,25,4191185.07513,SHATTUCK AVE,404,Single Pole,SINGLE POLE
POINT (-122.26750959541063 37.86495939721065),2449,SHATTUCK,2401,564428.886894,94704,SHATTUCK,2440,21.371,35,4191084.9542,SHATTUCK AVE,405,Single Pole,SINGLE POLE
POINT (-122.26758471703053 37.86569866019344),2449,SHATTUCK,2401,564421.635739,94704,SHATTUCK,2410,19.035,35,4191166.92457,SHATTUCK AVE,406,Single Pole,SINGLE POLE
POINT (-122.25402392317402 37.86577975286221),2699,DWIGHT,2641,565614.358582,94704,DWIGHT,2612,59.425,35,4191185.36797,HASTE ST,407,Single Pole,SINGLE POLE
POINT (-122.2540080310174 37.865633780826506),2699,DWIGHT,2641,565615.885691,94704,DWIGHT,2504,60.064,35,4191169.1835,COLLEGE AVE,408,Single Pole,SINGLE POLE
POINT (-122.25141025391636 37.86594017571296),2839,DWIGHT,2801,565844.110661,94704,DWIGHT,2513,51.071,25,4191205.00856,PIEDMONT AVE,409,Single Pole,SINGLE POLE
POINT (-122.2511203826334 37.8658124804893),0,PIEDMONT,0,565869.721832,94704,PIEDMONT,2513,51.066,25,4191191.04454,PIEDMONT AVE,410,Single Pole,SINGLE POLE
POINT (-122.26085540155819 37.86583229645443),2419,DANA,2403,565013.422634,94704,DANA,2407,41.961,25,4191186.41808,DANA ST,411,Single Pole,SINGLE POLE
POINT (-122.26783002274271 37.866594355245205),2099,DURANT,2001,564399.279838,94707,DURANT,2352,22.797,25,4191266.13482,SHATTUCK AVE,412,Pole Mast,MASTARM POLE
POINT (-122.26759420760904 37.86590175694907),2399,SHATTUCK,2341,564420.624187,94707,SHATTUCK,2352,21.258,35,4191189.45233,SHATTUCK AVE,413,Single Pole,SINGLE POLE
POINT (-122.2542033197437 37.86663878282195),2699,HASTE,2601,565597.81718,94704,HASTE,0,59.645,25,4191280.55288,CHANNING WAY,414,Single Pole,SINGLE POLE
POINT (-122.2540158511758 37.866614931289874),0,COLLEGE,0,565614.327805,94704,COLLEGE,2425,57.025,35,4191278.03845,COLLEGE AVE,415,Single Pole,SINGLE POLE
POINT (-122.25397886454095 37.86647664882323),2799,HASTE,2701,565617.703999,94704,HASTE,2431,59.538,25,4191262.72202,COLLEGE AVE,416,Single Pole,SINGLE POLE
POINT (-122.27258141523869 37.866918660057166),1899,BANCROFT,1821,563981.076182,94704,BANCROFT,0,10.168,25,4191298.84878,M L KING JR WAY,417,Pole Mast,MASTARM POLE
POINT (-122.27224208535394 37.865275381587615),2399,MARTIN LUTHER KING J,2301,564012.344393,94704,MARTIN LUTHER KING J,0,9.725,35,4191116.75661,M L KING JR WAY,418,Pole Mast,MASTARM POLE
POINT (-122.26743840135862 37.86679601142283),2199,DURANT,2101,564433.550321,94704,DURANT,2333,24.382,25,4191288.77853,SHATTUCK AVE,419,Single Pole,SINGLE POLE
POINT (-122.26584885699964 37.866816009979644),2399,FULTON,2321,564573.345136,94704,FULTON,2140,27.034,25,4191292.09609,DURANT AVE,420,Single Pole,SINGLE POLE
POINT (-122.26571085515175 37.86683871817189),2399,FULTON,2321,564585.464352,94704,FULTON,2200,24.848,25,4191294.7113,DURANT AVE,421,Single Pole,SINGLE POLE
POINT (-122.25855520042738 37.866826315062),2599,CHANNING,2501,565214.869534,94704,CHANNING,2409,46.862,25,4191298.31114,TELEGRAPH AVE,422,Single Pole,SINGLE POLE
POINT (-122.25870967801063 37.8669134783027),2599,CHANNING,2501,565201.205024,94704,CHANNING,2409,46.512,25,4191307.87378,TELEGRAPH AVE,423,Single Pole,SINGLE POLE
POINT (-122.25872607306543 37.86690806562262),2599,CHANNING,2501,565199.768166,94704,CHANNING,2409,47.099,25,4191307.26208,TELEGRAPH AVE,424,Single Pole,SINGLE POLE
POINT (-122.25872936001021 37.866983406360326),2599,CHANNING,2501,565199.412398,94704,CHANNING,2375,45.351,25,4191315.61889,TELEGRAPH AVE,425,Single Pole,SINGLE POLE
POINT (-122.2683319648396 37.87019491743185),2099,CENTER,2001,564351.998524,94704,CENTER,2150,27.723,25,4191665.27738,SHATTUCK AVE,426,Single Pole,SINGLE POLE
POINT (-122.26831360254123 37.87033980672082),2099,CENTER,2001,564353.487321,94704,CENTER,2144,26.426,25,4191681.36585,SHATTUCK AVE,427,Single Pole,SINGLE POLE
POINT (-122.26343918984549 37.867176832755874),2399,DURANT,2301,564784.978189,94704,DURANT,2300,34.518,25,4191333.79958,DURANT AVE,428,Single Pole,SINGLE POLE
POINT (-122.25417796716137 37.8674353899766),2429,COLLEGE,2401,565599.340651,94704,COLLEGE,2700,59.706,35,4191368.95609,CHANNING WAY,429,Single Pole,SINGLE POLE
POINT (-122.25433330755352 37.867418723017884),2699,CHANNING,2601,565585.692188,94704,CHANNING,0,56.904,25,4191366.99735,CHANNING WAY,430,Single Pole,SINGLE POLE
POINT (-122.25439473213206 37.867540547518495),2699,CHANNING,2601,565580.181886,94704,CHANNING,0,65.012,25,4191380.47147,COLLEGE AVE,431,Pole Mast,MASTARM POLE
POINT (-122.26807275157059 37.86762194856205),2099,BANCROFT,2001,564377.035737,94704,BANCROFT,2276,21.286,25,4191379.98035,SHATTUCK AVE,432,Single Pole,SINGLE POLE
POINT (-122.26793732258932 37.86768283605668),2099,BANCROFT,2001,564388.894725,94704,BANCROFT,2276,21.579,25,4191386.82963,SHATTUCK AVE,433,Single Pole,SINGLE POLE
POINT (-122.2680375695432 37.8675110385611),2099,BANCROFT,2001,564380.226559,94704,BANCROFT,2300,21.831,25,4191367.69895,SHATTUCK AVE,434,Single Pole,SINGLE POLE
POINT (-122.26758440980525 37.866823846803264),2339,SHATTUCK,2301,564420.68338,94704,SHATTUCK,2333,24.121,35,4191291.76664,SHATTUCK AVE,435,Single Pole,SINGLE POLE
POINT (-122.26788498597038 37.867462397986564),2339,SHATTUCK,2301,564393.689344,94704,SHATTUCK,2300,20.871,35,4191362.40751,SHATTUCK AVE,436,Single Pole,SINGLE POLE
POINT (-122.26779233546682 37.86750450521344),2339,SHATTUCK,2301,564401.802786,94704,SHATTUCK,2300,21.015,35,4191367.14251,SHATTUCK AVE,437,Single Pole,SINGLE POLE
POINT (-122.26781498405589 37.86680147690238),2339,SHATTUCK,2301,564400.422454,94704,SHATTUCK,2300,23.028,35,4191289.12554,SHATTUCK AVE,438,Single Pole,SINGLE POLE
POINT (-122.26609389930339 37.86785466608521),2199,BANCROFT,2101,564550.885836,94704,BANCROFT,2288,27.032,35,4191407.16782,FULTON ST,439,Single Pole,SINGLE POLE
POINT (-122.26601985423468 37.8677286410206),2319,FULTON,2301,564557.508094,94704,FULTON,2190,32.065,25,4191393.23577,BANCROFT WAY,440,Single Pole,SINGLE POLE
POINT (-122.26594666801302 37.867741487814776),2319,FULTON,2301,564563.934424,94704,FULTON,2190,29.502,25,4191394.71213,BANCROFT WAY,441,Single Pole,SINGLE POLE
POINT (-122.26596357670313 37.86789834231639),0,BANCROFT,0,564562.310212,94704,,2288,27.116,35,4191412.10323,FULTON ST,442,Single Pole,SINGLE POLE
POINT (-122.25414383694952 37.86745872631287),2799,CHANNING,2701,565602.321929,94704,CHANNING,2700,59.572,25,4191371.5697,CHANNING WAY,443,Single Pole,SINGLE POLE
POINT (-122.26112549932637 37.86743730343217),2499,DURANT,2401,564988.255244,94704,DURANT,2436,44.21,25,4191364.30771,DURANT AVE,444,Single Pole,SINGLE POLE
POINT (-122.25879890103522 37.86702091069137),2399,TELEGRAPH,2351,565193.262792,94704,TELEGRAPH,2375,47.072,35,4191319.73101,TELEGRAPH AVE,445,Single Pole,SINGLE POLE
POINT (-122.26123049651513 37.86760339891262),2349,DANA,2301,564978.873893,94704,DANA,2418,45.481,25,4191382.66371,BANCROFT WAY,446,Single Pole,SINGLE POLE
POINT (-122.26759160179837 37.86849134573972),2199,KITTREDGE,2101,564418.599155,94704,KITTREDGE,2110,25.406,25,4191476.77386,KITTREDGE ST,447,Single Pole,SINGLE POLE
POINT (-122.2676646495535 37.86858615097173),2199,KITTREDGE,2101,564412.091462,94704,KITTREDGE,2231,24.364,25,4191487.24168,SHATTUCK AVE,448,Single Pole,SINGLE POLE
POINT (-122.26585944403273 37.86791407853044),2299,FULTON,2231,564571.456254,94704,FULTON,2200,23.328,25,4191413.92165,BANCROFT WAY,449,Single Pole,SINGLE POLE
POINT (-122.2658685327688 37.86791692920765),2299,FULTON,2231,564570.654243,94704,FULTON,2200,26.567,25,4191414.23158,BANCROFT WAY,450,Single Pole,SINGLE POLE
POINT (-122.27287767106387 37.86883840837964),1899,ALLSTON,1829,563953.359393,94703,ALLSTON,2100,15.044,25,4191511.64547,M L KING JR WAY,451,Single Pole,SINGLE POLE
POINT (-122.27280632534269 37.86869685333008),1899,ALLSTON,1829,563959.756485,94704,ALLSTON,2200,12.943,25,4191495.98913,M L KING JR WAY,452,Single Pole,SINGLE POLE
POINT (-122.27239602023643 37.86699124920519),2299,MARTIN LUTHER KING J,2201,563997.320721,94703,MARTIN LUTHER KING J,2239,9.374,35,4191307.02988,M L KING JR WAY,453,Single Pole,SINGLE POLE
POINT (-122.25931511840054 37.86874963156725),2499,BANCROFT,2401,565146.335261,94720,BANCROFT,2301,51.017,35,4191511.17531,BANCROFT WAY,454,Single Pole,SINGLE POLE
POINT (-122.26003205471638 37.86867093880439),2499,BANCROFT,2401,565083.345735,94720,BANCROFT,2301,47.723,35,4191501.94432,BANCROFT WAY,455,Pole Mast,MASTARM POLE
POINT (-122.25996969534162 37.86852390493109),2499,BANCROFT,2401,565088.959986,94704,BANCROFT,2462,54.387,35,4191485.67455,BANCROFT WAY,456,Pole Mast,MASTARM POLE
POINT (-122.259258093963 37.868609505036964),2499,BANCROFT,2401,565151.473865,94704,BANCROFT,2300,54.195,35,4191495.66854,TELEGRAPH AVE,457,Single Pole,SINGLE POLE
POINT (-122.2589446491764 37.8679270728067),2349,TELEGRAPH,2301,565179.64473,94704,TELEGRAPH,2347,53.43,35,4191420.16938,TELEGRAPH AVE,458,Single Pole,SINGLE POLE
POINT (-122.25433489727793 37.86828747155055),2799,DURANT,2701,565584.782262,94704,DURANT,2333,60.918,25,4191463.38571,COLLEGE AVE,459,Single Pole,SINGLE POLE
POINT (-122.27255913897156 37.86873753112274),1999,ALLSTON,1901,563981.463011,94704,ALLSTON,2223,12.575,25,4191500.67096,M L KING JR WAY,460,Single Pole,SINGLE POLE
POINT (-122.27053454089753 37.868998322170114),1999,ALLSTON,1901,564159.311281,94704,ALLSTON,2223,15.295,25,4191530.99595,M L KING JR WAY,461,Single Pole,SINGLE POLE
POINT (-122.27059136752342 37.869129575182505),1999,ALLSTON,1901,564154.198978,94704,ALLSTON,0,21.416,25,4191545.52042,CENTER ST,462,Single Pole,SINGLE POLE
POINT (-122.27035899118688 37.86899426911114),2219,MILVIA,2201,564174.755304,94704,MILVIA,0,14.314,25,4191530.66729,MILVIA ST,463,Single Pole,SINGLE POLE
POINT (-122.2568207177041 37.868200479661056),2319,BOWDITCH,2301,565366.216398,94704,BOWDITCH,2316,50.542,25,4191451.99012,BOWDITCH ST,464,Single Pole,SINGLE POLE
POINT (-122.25668482762772 37.86822430997853),2319,BOWDITCH,2301,565378.147692,94704,BOWDITCH,2601,50.345,25,4191454.72929,DURANT AVE,465,Single Pole,SINGLE POLE
POINT (-122.2703453551709 37.869030188512426),2059,ALLSTON,2001,564175.922974,94704,ALLSTON,0,14.732,25,4191534.66205,MILVIA ST,466,Single Pole,SINGLE POLE
POINT (-122.25453882596355 37.86849640421439),2319,COLLEGE,2301,565566.660249,94704,COLLEGE,2647,63.759,35,4191486.42362,DURANT AVE,467,Single Pole,SINGLE POLE
POINT (-122.25439675639194 37.86845559992002),2319,COLLEGE,2301,565579.192283,94704,COLLEGE,2701,63.881,35,4191481.9966,DURANT AVE,468,Single Pole,SINGLE POLE
POINT (-122.26807356805195 37.86926003185338),2099,ALLSTON,2061,564375.538331,94704,ALLSTON,2060,20.545,25,4191561.72778,ALLSTON WAY,469,Single Pole,SINGLE POLE
POINT (-122.2682317194244 37.86928409701864),2099,ALLSTON,2061,564361.607347,94704,ALLSTON,2060,29.179,25,4191564.28932,ALLSTON WAY,470,Single Pole,SINGLE POLE
POINT (-122.26828021818167 37.86939515459065),2099,ALLSTON,2061,564357.244936,94704,ALLSTON,2190,25.75,25,4191576.57819,SHATTUCK AVE,471,Single Pole,SINGLE POLE
POINT (-122.27289365710664 37.869627350337765),2199,MARTIN LUTHER KING J,2151,563951.271046,94703,MARTIN LUTHER KING J,2100,22.613,35,4191599.16885,M L KING JR WAY,472,Single Pole,SINGLE POLE
POINT (-122.27259703633648 37.86888199814032),2199,MARTIN LUTHER KING J,2151,563978.005456,94704,MARTIN LUTHER KING J,0,12.795,35,4191516.6742,CENTER ST,473,Pole Mast,MASTARM POLE
POINT (-122.26796905097356 37.86947741444142),2199,SHATTUCK,2155,564384.54219,94704,SHATTUCK,2187,22.599,35,4191585.9186,SHATTUCK AVE,474,Single Pole,SINGLE POLE
POINT (-122.27067931990231 37.870054074895414),1999,CENTER,1901,564145.661787,94704,CENTER,2118,20.86,25,4191648.03496,MILVIA ST,475,Single Pole,SINGLE POLE
