FACILITYID,INSTALLDAT,WATTAGE,the_geom,CONDITION,LASTUPDATE,ACCOUNT,ARM_LENGTH,LATITUDE,LONGITUDE,DISTRIBUTI,CITY_FACIL,GROUP_,HEADS,INSTALLED,PHOTOCELL,ISSUES_REP,MODEL_NUMB,MOUNTING_H,OLD_TARIFF,OLD_TYPE,VOLTAGE,OLD_WATTAG,PGE_TARIFF,PLATE_PHOT,POLE_CONDI,POLE_MATER,RATE,SAID,SPID,ADDRESS,TWIN_POLE_,UNIQUE_ID,MANUFACTUR,WARRANTY_D,WARRANTY_P,WARRANTY,AUDIT_DATE
B3367,08/05/2014 12:00:00 AM +0000,42,POINT (-122.26955999953312 37.85811599862644),OK,11/30/1899 12:00:00 AM +0000,6274328734,6,37.858116,-122.26956,3,3367,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_100,HPS,120,100,S-LD-45,Berkeley_Install_8-5-14_8_36_AM_b3367_installer13.jpg,OK,Wood,LS-2,6274328004,8128517198,1992 STUART ST,,0430_1938_1187,Leotek,08/05/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B2942,08/05/2014 12:00:00 AM +0000,42,POINT (-122.26914900002022 37.858134999092776),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858135,-122.269149,3,2942,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-5-14_8_48_AM_b2942_installer13.jpg,OK,Wood,LS-2,6274328004,8138957846,2002 STUART ST,,0430_1848_8375,Leotek,08/05/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B4296,08/12/2014 12:00:00 AM +0000,42,POINT (-122.25534799957063 37.85813899896145),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858139,-122.255348,3,4296,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-12-14_1_13_PM_4296b_installer14.jpg,OK,Wood,LS-2,6274328004,8149382864,2606 RUSSELL ST,,0429_1606_5535,Leotek,08/12/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
B5686,08/18/2014 12:00:00 AM +0000,42,POINT (-122.2483859995932 37.858152998974525),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858153,-122.248386,3,5686,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-18-14_10_26_AM_5686B_installer16.jpg,OK,Wood,LS-2,6274328004,8159806832,2914 PINE AVE,,0425_1302_6779,Leotek,08/18/2014 12:00:00 AM +0000,Graybar,10,04/25/2014 12:00:00 AM +0000
B4774,07/18/2014 12:00:00 AM +0000,42,POINT (-122.28394800026965 37.85817099908378),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858171,-122.283948,3,4774,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,< 25 feet,HPS_120_100,HPS,120,100,S-LD-45,Berkeley_Install_7-18-14_1_39_PM_b4774_installer14.jpg,OK,Wood,LS-2,6274328004,8159743168,1336 DERBY ST,,0417_1526_0347,Leotek,07/18/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B2111,07/23/2014 12:00:00 AM +0000,42,POINT (-122.27771099953837 37.858177999131996),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858178,-122.277711,3,2111,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_100,HPS,120,100,S-LD-45,Berkeley_Install_7-23-14_10_36_AM_b2111_installer14.jpg,OK,Wood,LS-2,6274328004,8138894294,1606 WARD ST,,0429_1303_9595,Leotek,07/23/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
B3225,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26283599984626 37.85819599943748),OK,11/30/1899 12:00:00 AM +0000,6274328734,3,37.858196,-122.262836,3,3225,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-7-14_1_23_PM_3225_installer13.jpg,OK,Wood,LS-2,6274328004,8149306798,2248 OREGON ST,,0430_1431_8006,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
B3339,07/23/2014 12:00:00 AM +0000,42,POINT (-122.27686599995906 37.85823899913971),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858239,-122.276866,3,3339,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_7-23-14_10_27_AM_b3339_installer14.jpg,OK,Wood,LS-2,6274328004,8149316076,1646 WARD ST,,0429_1302_4004,Leotek,07/23/2014 12:00:00 AM +0000,Graybar,10,04/29/2014 12:00:00 AM +0000
B3098,07/17/2014 12:00:00 AM +0000,42,POINT (-122.28253599975909 37.85827099892269),OK,11/30/1899 12:00:00 AM +0000,6274328734,2,37.858271,-122.282536,3,3068,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_100,HPS,120,100,S-LD-45,Berkeley_Install_7-17-14_7_31_AM_BX068_installer16.jpg,OK,Wood,LS-2,6274328004,8138967298,1404 DERBY ST,,0417_1540_1861,Leotek,07/17/2014 12:00:00 AM +0000,Graybar,10,04/17/2014 12:00:00 AM +0000
B4275,08/07/2014 12:00:00 AM +0000,42,POINT (-122.26202600014587 37.85830499950278),OK,11/30/1899 12:00:00 AM +0000,6232662070,12,37.858305,-122.262026,3,4275,CityStreetPath,Single,YES,PHOTOCELL,,EC1-6M-MV-NW-3-GY-WL-530,25-30 feet,HPS_120_70,HPS,120,70,S-LD-45,Berkeley_Install_8-7-14_1_31_PM_4275_installer13.jpg,OK,Wood,LS-2,6232662147,4764087755,2288 OREGON ST,,0430_1435_1404,Leotek,08/07/2014 12:00:00 AM +0000,Graybar,10,04/30/2014 12:00:00 AM +0000
